region_first,region_last,n_clusters,n_tot_clusters,i_wave,prop,lower_prop,upper_prop,lower_prop_bootstrap,upper_prop_bootstrap
North Puget Sound,Southeast,8,13,3,0.6153846153846154,0.32277207760205157,0.8486600955329644,0.38461538461538464,0.8461538461538461
North Puget Sound,Southwest,36,54,3,0.6666666666666666,0.5242051076636782,0.7854213173992938,0.5370370370370371,0.7962962962962963
Northeast,North Central,2,13,3,0.15384615384615385,0.027107071700715694,0.46337566496925403,0,0.38461538461538464
Northeast,North Puget Sound,35,91,3,0.38461538461538464,0.28625123831945637,0.49282935145616824,0.2857142857142857,0.4835164835164835
Northeast,Northwest,7,16,3,0.4375,0.20753730965718087,0.6944578270410215,0.1875,0.6875
Northeast,Peninsula/Coastal,13,15,3,0.8666666666666667,0.5838899024321271,0.97656195767045,0.6666666666666666,1
Northeast,South Central,16,31,3,0.5161290322580645,0.33397636052324065,0.6944173662475217,0.3548387096774194,0.6774193548387096
Northeast,South Puget Sound,18,47,3,0.3829787234042553,0.24875289861099587,0.5361872173781403,0.2553191489361702,0.5319148936170213
Northeast,Southeast,7,22,3,0.3181818181818182,0.1473430549194487,0.548842699763601,0.13636363636363635,0.5
Northeast,Southwest,2,2,3,1,0.19786745576231118,1,1,1
Northwest,North Central,18,24,3,0.75,0.5294765966190305,0.8939945560544912,0.5833333333333334,0.9166666666666666
Northwest,North Puget Sound,119,201,3,0.5920398009950248,0.5204876907937076,0.6600146434003076,0.5223880597014925,0.6616915422885572
Northwest,Northeast,9,16,3,0.5625,0.30554217295897845,0.7924626903428191,0.3125,0.8125
Northwest,Peninsula/Coastal,16,28,3,0.5714285714285714,0.3743184553627651,0.7497305061529256,0.39285714285714285,0.75
Northwest,South Central,26,33,3,0.7878787878787878,0.6060128941929179,0.9036869871699013,0.6363636363636364,0.9090909090909091
Northwest,South Puget Sound,30,82,3,0.36585365853658536,0.26431251896133284,0.4800862608625575,0.2682926829268293,0.47560975609756095
Northwest,Southeast,2,4,3,0.5,0.15003898915214955,0.8499610108478505,0,1
Northwest,Southwest,11,17,3,0.6470588235294118,0.3862040572678504,0.8474076409876058,0.4117647058823529,0.8823529411764706
Peninsula/Coastal,North Central,2,6,3,0.3333333333333333,0.059989704688421214,0.7589217890180476,0,0.6666666666666666
Peninsula/Coastal,North Puget Sound,100,166,3,0.6024096385542169,0.523419719082954,0.6765817689792076,0.5240963855421686,0.6746987951807228
